,,,uid,,,,park,
user,user,0,1534,1534,und,0,Monta Loma Park,NULL
user,user,0,1536,1536,und,0,Orchard MHP,NULL
user,user,0,1555,1555,und,0,Circle Cedar Court,NULL
user,user,0,1578,1578,und,0,Smith`s Mobile Estates,NULL
user,user,0,1579,1579,und,0,meadowlark mobile manor,NULL
user,user,0,1583,1583,und,0,Roundup Trailer Park,NULL
user,user,0,1586,1586,und,0,"Heather Manor, Puerto Vista. Quail Run. Spring Meadow",NULL
user,user,0,1597,1597,und,0,Grand View Mobile Home Park,NULL
user,user,0,1599,1599,und,0,Mountain View Mobile Estates,NULL
user,user,0,1600,1600,und,0,Maple Lane Estates,NULL
user,user,0,1620,1620,und,0,Westlake Village Mobile Home Park,NULL
user,user,0,1621,1621,und,0,Midway Village,NULL
user,user,0,1633,1633,und,0,Valley View ,NULL
user,user,0,1646,1646,und,0,Crown Court,NULL
user,user,0,1648,1648,und,0,River Bend Mobile Resort,NULL
